Date;Price;Vol;%Change
Dec 31, 2020;204.580;-;0.62%
Dec 30, 2020;203.320;-;-0.33%
Dec 29, 2020;204.000;-;-0.01%
Dec 28, 2020;204.020;-;0.41%
Dec 24, 2020;203.190;-;0.32%
Dec 23, 2020;202.540;-;0.16%
Dec 22, 2020;202.210;-;0.30%
Dec 21, 2020;201.610;-;-0.62%
Dec 18, 2020;202.860;-;-0.24%
Dec 17, 2020;203.340;-;0.30%
Dec 16, 2020;202.740;-;0.14%
Dec 15, 2020;202.460;-;0.70%
Dec 14, 2020;201.050;-;-0.23%
Dec 11, 2020;201.510;-;0.01%
Dec 10, 2020;201.490;-;-0.44%
Dec 09, 2020;202.390;-;-0.29%
Dec 08, 2020;202.970;-;0.40%
Dec 07, 2020;202.160;-;-0.07%
Dec 04, 2020;202.300;-;0.85%
Dec 03, 2020;200.600;-;-0.38%
Dec 02, 2020;201.370;-;-0.18%
Dec 01, 2020;201.740;-;0.42%
Nov 30, 2020;200.890;-;-0.80%
Nov 27, 2020;202.510;-;0.12%
Nov 26, 2020;202.270;-;0.03%
Nov 25, 2020;202.210;-;-0.23%
Nov 24, 2020;202.680;-;1.12%
Nov 23, 2020;200.430;-;0.57%
Nov 20, 2020;199.290;-;-0.36%
Nov 19, 2020;200.010;-;0.43%
Nov 18, 2020;199.150;-;-0.58%
Nov 17, 2020;200.320;-;-0.44%
Nov 16, 2020;201.200;-;1.13%
Nov 13, 2020;198.950;-;0.82%
Nov 12, 2020;197.340;-;-1.27%
Nov 11, 2020;199.880;-;1.48%
Nov 10, 2020;196.960;-;0.13%
Nov 09, 2020;196.700;-;1.74%
Nov 06, 2020;193.340;-;-0.25%
Nov 05, 2020;193.830;-;1.07%
Nov 04, 2020;191.770;-;2.17%
Nov 03, 2020;187.690;-;1.21%
Nov 02, 2020;185.440;-;1.37%
Oct 30, 2020;182.930;-;-1.01%
Oct 29, 2020;184.800;-;1.33%
Oct 28, 2020;182.370;-;-2.39%
Oct 27, 2020;186.830;-;-0.57%
Oct 26, 2020;187.910;-;-1.52%
Oct 23, 2020;190.820;-;0.33%
Oct 22, 2020;190.200;-;0.53%
Oct 21, 2020;189.190;-;-0.56%
Oct 20, 2020;190.260;-;-0.09%
Oct 19, 2020;190.440;-;-1.54%
Oct 16, 2020;193.420;-;0.09%
Oct 15, 2020;193.250;-;-0.21%
Oct 14, 2020;193.650;-;-0.65%
Oct 13, 2020;194.920;-;0.03%
Oct 12, 2020;194.870;-;1.34%
Oct 09, 2020;192.290;-;0.29%
Oct 08, 2020;191.730;-;0.78%
Oct 07, 2020;190.250;-;1.38%
Oct 06, 2020;187.660;-;-0.86%
Oct 05, 2020;189.280;-;1.18%
Oct 02, 2020;187.080;-;-0.56%
Oct 01, 2020;188.140;-;0.38%
Sep 30, 2020;187.430;-;0.37%
Sep 29, 2020;186.740;-;-0.85%
Sep 28, 2020;188.340;-;2.75%
Sep 24, 2020;183.300;-;0.16%
Sep 23, 2020;183.000;-;-1.43%
Sep 22, 2020;185.660;-;1.01%
Sep 21, 2020;183.810;-;-0.75%
Sep 18, 2020;185.190;-;-1.08%
Sep 17, 2020;187.220;-;-0.65%
Sep 16, 2020;188.440;-;0.00%
Sep 15, 2020;188.440;-;0.76%
Sep 14, 2020;187.020;-;1.11%
Sep 10, 2020;184.960;-;-1.59%
Sep 09, 2020;187.950;-;1.63%
Sep 08, 2020;184.930;-;-1.97%
Sep 07, 2020;188.650;-;0.14%
Sep 04, 2020;188.390;-;-0.84%
Sep 03, 2020;189.990;-;-2.69%
Sep 02, 2020;195.240;-;2.14%
Sep 01, 2020;191.150;-;0.45%
Aug 31, 2020;190.290;-;-0.57%
Aug 28, 2020;191.380;-;0.78%
Aug 25, 2020;189.890;-;1.69%
Aug 20, 2020;186.740;-;0.18%
Aug 19, 2020;186.400;-;-0.03%
Aug 18, 2020;186.450;-;-0.12%
Aug 17, 2020;186.670;-;-0.01%
Aug 14, 2020;186.690;-;-0.17%
Aug 13, 2020;187.010;-;-0.33%
Aug 12, 2020;187.620;-;1.13%
Aug 11, 2020;185.520;-;-0.05%
Aug 10, 2020;185.610;-;0.40%
Aug 07, 2020;184.870;-;0.30%
Aug 06, 2020;184.310;-;0.42%
Aug 05, 2020;183.530;-;-0.16%
Aug 04, 2020;183.820;-;0.40%
Aug 03, 2020;183.090;-;1.58%
Jul 31, 2020;180.240;-;-0.32%
Jul 30, 2020;180.810;-;-0.76%
Jul 29, 2020;182.190;-;0.46%
Jul 28, 2020;181.350;-;-0.10%
Jul 27, 2020;181.540;-;-0.42%
Jul 24, 2020;182.300;-;-0.97%
Jul 23, 2020;184.090;-;-0.85%
Jul 22, 2020;185.670;-;-0.64%
Jul 21, 2020;186.870;-;-0.15%
Jul 20, 2020;187.160;-;0.68%
Jul 17, 2020;185.900;-;0.31%
Jul 16, 2020;185.330;-;-0.46%
Jul 15, 2020;186.190;-;0.97%
Jul 14, 2020;184.410;-;0.50%
Jul 13, 2020;183.490;-;-0.70%
Jul 10, 2020;184.790;-;0.71%
Jul 09, 2020;183.490;-;-0.29%
Jul 08, 2020;184.030;-;0.16%
Jul 07, 2020;183.740;-;-0.74%
Jul 06, 2020;185.110;-;1.10%
Jul 03, 2020;183.090;-;-0.25%
Jul 02, 2020;183.550;-;1.15%
Jul 01, 2020;181.470;-;0.07%
Jun 30, 2020;181.350;-;1.32%
Jun 29, 2020;178.990;-;0.52%
Jun 26, 2020;178.060;-;-1.55%
Jun 25, 2020;180.870;-;1.17%
Jun 24, 2020;178.780;-;-1.91%
Jun 23, 2020;182.260;-;-0.02%
Jun 22, 2020;182.300;-;-0.08%
Jun 19, 2020;182.450;-;-0.06%
Jun 18, 2020;182.560;-;-0.07%
Jun 17, 2020;182.690;-;0.08%
Jun 16, 2020;182.550;-;2.64%
Jun 15, 2020;177.850;-;-0.02%
Jun 12, 2020;177.880;-;1.67%
Jun 11, 2020;174.950;-;-5.23%
Jun 10, 2020;184.600;-;-0.34%
Jun 09, 2020;185.230;-;-1.03%
Jun 08, 2020;187.150;-;1.06%
Jun 05, 2020;185.190;-;2.47%
