Date;Price;Vol;%Change
Dec 30, 2020;253.84;1.98K;0.01%
Dec 29, 2020;253.82;1.69K;0.11%
Dec 28, 2020;253.55;1.49K;-0.25%
Dec 23, 2020;254.18;3.36K;-0.37%
Dec 22, 2020;255.13;4.34K;0.28%
Dec 21, 2020;254.41;7.98K;0.02%
Dec 18, 2020;254.35;3.20K;-0.06%
Dec 17, 2020;254.50;2.28K;-0.23%
Dec 16, 2020;255.09;5.94K;-0.05%
Dec 15, 2020;255.23;3.09K;-0.11%
Dec 14, 2020;255.52;2.98K;-0.13%
Dec 11, 2020;255.84;2.50K;0.17%
Dec 10, 2020;255.41;1.94K;-0.11%
Dec 09, 2020;255.69;3.24K;0.21%
Dec 08, 2020;255.16;0.21K;0.17%
Dec 07, 2020;254.72;2.79K;0.39%
Dec 04, 2020;253.74;15.91K;0.39%
Dec 03, 2020;252.75;12.27K;-1.13%
Dec 02, 2020;255.63;20.49K;0.17%
Dec 01, 2020;255.20;2.93K;-0.87%
Nov 30, 2020;257.43;1.98K;-0.05%
Nov 27, 2020;257.57;3.70K;-0.17%
Nov 26, 2020;258.01;6.91K;0.05%
Nov 25, 2020;257.88;1.97K;0.10%
Nov 24, 2020;257.63;7.81K;-0.44%
Nov 23, 2020;258.78;16.07K;-0.03%
Nov 20, 2020;258.85;3.19K;0.15%
Nov 19, 2020;258.47;1.68K;0.02%
Nov 18, 2020;258.41;3.32K;0.29%
Nov 17, 2020;257.67;3.72K;0.03%
Nov 16, 2020;257.60;3.93K;-0.59%
Nov 13, 2020;259.12;3.72K;0.63%
Nov 12, 2020;257.51;4.42K;-0.53%
Nov 11, 2020;258.87;2.85K;0.84%
Nov 10, 2020;256.72;1.52K;-0.70%
Nov 09, 2020;258.53;5.82K;0.02%
Nov 06, 2020;258.47;2.76K;-0.46%
Nov 05, 2020;259.67;1.28K;-0.36%
Nov 04, 2020;260.60;4.00K;0.47%
Nov 03, 2020;259.37;3.67K;-0.49%
Nov 02, 2020;260.66;1.01K;0.14%
Oct 30, 2020;260.30;2.76K;-0.12%
Oct 29, 2020;260.61;24.11K;0.56%
Oct 28, 2020;259.17;2.27K;0.26%
Oct 27, 2020;258.50;1.46K;0.23%
Oct 26, 2020;257.90;2.89K;0.46%
Oct 23, 2020;256.71;1.66K;-0.24%
Oct 22, 2020;257.34;5.23K;-0.54%
Oct 21, 2020;258.75;12.17K;0.30%
Oct 20, 2020;257.98;0.98K;-0.20%
Oct 19, 2020;258.50;6.98K;-0.57%
Oct 16, 2020;259.99;1.93K;0.04%
Oct 15, 2020;259.89;7.92K;0.13%
Oct 14, 2020;259.56;1.08K;0.24%
Oct 13, 2020;258.95;2.98K;0.31%
Oct 12, 2020;258.14;6.05K;0.24%
Oct 09, 2020;257.51;1.30K;-0.04%
Oct 08, 2020;257.62;1.49K;0.06%
Oct 07, 2020;257.47;0.89K;0.01%
Oct 06, 2020;257.45;3.95K;-0.08%
Oct 05, 2020;257.65;1.64K;-0.67%
Oct 02, 2020;259.38;2.36K;0.27%
Oct 01, 2020;258.68;9.88K;0.10%
Sep 30, 2020;258.42;0.69K;-0.34%
Sep 29, 2020;259.30;1.05K;-0.32%
Sep 28, 2020;260.13;2.35K;-0.17%
Sep 25, 2020;260.56;4.95K;0.20%
Sep 24, 2020;260.03;1.40K;0.09%
Sep 23, 2020;259.79;1.26K;0.16%
Sep 22, 2020;259.37;1.20K;0.09%
Sep 21, 2020;259.13;7.59K;0.58%
Sep 18, 2020;257.63;2.34K;-0.27%
Sep 17, 2020;258.34;2.79K;0.22%
Sep 16, 2020;257.78;0.66K;0.27%
Sep 15, 2020;257.08;1.68K;0.35%
Sep 14, 2020;256.19;0.91K;-0.07%
Sep 11, 2020;256.37;2.38K;0.40%
Sep 10, 2020;255.36;2.47K;-0.35%
Sep 09, 2020;256.25;6.94K;-0.39%
Sep 08, 2020;257.25;1.09K;0.68%
Sep 07, 2020;255.51;0.50K;-0.40%
Sep 04, 2020;256.54;1.32K;-0.45%
Sep 03, 2020;257.71;1.52K;-0.04%
