Date;Price;Vol;%Change
Dec 31, 2020;80.62;0.92K;0.25%
Dec 30, 2020;80.42;0.50K;-0.54%
Dec 29, 2020;80.86;4.72K;0.93%
Dec 24, 2020;80.11;0.50K;-0.37%
Dec 23, 2020;80.40;3.89K;-1.20%
Dec 22, 2020;81.39;1.45K;0.00%
Dec 21, 2020;81.39;2.29K;0.89%
Dec 18, 2020;80.67;1.57K;0.71%
Dec 17, 2020;80.11;2.23K;-0.51%
Dec 16, 2020;80.51;2.04K;-0.31%
Dec 15, 2020;80.76;2.15K;-0.66%
Dec 14, 2020;81.31;2.12K;-0.95%
Dec 11, 2020;82.08;0.27K;0.71%
Dec 10, 2020;81.51;3.71K;0.84%
Dec 09, 2020;80.83;1.47K;-0.36%
Dec 08, 2020;81.13;1.95K;-0.01%
Dec 07, 2020;81.14;0.95K;1.06%
Dec 04, 2020;80.29;6.67K;-0.20%
Dec 03, 2020;80.44;1.91K;-0.61%
Dec 02, 2020;80.94;0.83K;0.44%
Dec 01, 2020;80.58;0.74K;-0.48%
Nov 30, 2020;80.97;2.85K;0.06%
Nov 27, 2020;80.93;2.55K;0.19%
Nov 26, 2020;80.77;1.62K;0.48%
Nov 25, 2020;80.39;3.49K;-0.18%
Nov 24, 2020;80.53;1.55K;-0.24%
Nov 23, 2020;80.72;1.10K;-0.03%
Nov 20, 2020;80.75;3.16K;-0.27%
Nov 19, 2020;80.97;0.53K;0.54%
Nov 18, 2020;80.54;0.63K;-0.08%
Nov 17, 2020;80.60;4.44K;-0.22%
Nov 16, 2020;80.78;1.67K;0.02%
Nov 13, 2020;80.76;0.12K;0.04%
Nov 12, 2020;80.74;0.58K;0.80%
Nov 11, 2020;80.10;0.63K;-0.12%
Nov 10, 2020;80.19;0.92K;-0.61%
Nov 09, 2020;80.68;2.13K;-0.43%
Nov 06, 2020;81.04;2.14K;-0.44%
Nov 05, 2020;81.39;2.23K;-0.23%
Nov 04, 2020;81.58;0.41K;1.42%
Nov 03, 2020;80.44;1.00K;-1.09%
Nov 02, 2020;81.32;0.87K;0.59%
Oct 30, 2020;80.85;0.33K;-0.60%
Oct 29, 2020;81.33;0.29K;0.13%
Oct 28, 2020;81.23;2.20K;0.31%
Oct 27, 2020;80.97;1.08K;-0.09%
Oct 26, 2020;81.05;2.81K;0.24%
Oct 23, 2020;80.86;0.79K;0.45%
Oct 22, 2020;80.50;0.50K;-0.01%
Oct 21, 2020;80.50;1.24K;-1.22%
Oct 20, 2020;81.50;3.43K;0.14%
Oct 19, 2020;81.39;0.85K;-0.41%
Oct 16, 2020;81.72;3.18K;0.03%
Oct 15, 2020;81.69;1.55K;0.62%
Oct 14, 2020;81.19;0.87K;-0.25%
Oct 13, 2020;81.39;0.59K;0.70%
Oct 12, 2020;80.82;10.20K;-0.30%
Oct 09, 2020;81.07;2.74K;-0.39%
Oct 08, 2020;81.39;1.04K;0.09%
Oct 07, 2020;81.32;1.05K;0.26%
Oct 06, 2020;81.11;4.62K;0.10%
Oct 05, 2020;81.03;1.23K;-0.14%
Oct 02, 2020;81.14;0.40K;-0.34%
Oct 01, 2020;81.42;0.55K;0.20%
Sep 30, 2020;81.26;8.51K;-0.56%
Sep 29, 2020;81.72;1.78K;0.28%
Sep 28, 2020;81.49;0.38K;-0.85%
Sep 25, 2020;82.18;0.33K;-0.09%
Sep 24, 2020;82.25;0.11K;-0.16%
Sep 23, 2020;82.39;1.54K;-0.24%
Sep 22, 2020;82.58;0.70K;0.25%
Sep 21, 2020;82.38;0.24K;0.78%
Sep 18, 2020;81.74;0.01K;-0.01%
Sep 17, 2020;81.75;0.58K;-0.73%
Sep 16, 2020;82.35;0.95K;-0.90%
Sep 15, 2020;83.10;0.36K;0.11%
Sep 14, 2020;83.00;0.22K;-0.52%
Sep 11, 2020;83.43;0.04K;0.84%
Sep 10, 2020;82.74;0.58K;1.01%
Sep 09, 2020;81.91;0.19K;0.07%
Sep 08, 2020;81.86;6.59K;1.03%
Sep 07, 2020;81.02;0.25K;0.17%
Sep 04, 2020;80.88;3.35K;0.03%
Sep 03, 2020;80.86;0.58K;0.21%
Sep 02, 2020;80.68;5.47K;1.24%
Sep 01, 2020;79.69;0.67K;-0.24%
Aug 28, 2020;79.89;0.55K;-0.69%
Aug 27, 2020;80.44;5.33K;-0.29%
Aug 26, 2020;80.68;1.74K;-0.56%
Aug 25, 2020;81.13;0.34K;-0.83%
Aug 24, 2020;81.81;1.81K;0.23%
Aug 21, 2020;81.62;0.33K;0.47%
Aug 20, 2020;81.24;0.17K;0.01%
Aug 19, 2020;81.22;0.20K;0.37%
Aug 18, 2020;80.93;0.66K;-0.75%
Aug 17, 2020;81.54;0.94K;0.22%
Aug 14, 2020;81.36;0.69K;-0.57%
Aug 13, 2020;81.82;0.89K;-0.34%
Aug 12, 2020;82.11;1.07K;0.19%
Aug 11, 2020;81.95;1.45K;-0.46%
Aug 10, 2020;82.33;2.79K;-0.29%
