Date;Price;Vol;%Change
Dec 31, 2020;178.36;7.54M;0.37%
Dec 30, 2020;177.70;5.91M;0.77%
Dec 29, 2020;176.35;5.98M;0.36%
Dec 28, 2020;175.71;7.78M;-0.36%
Dec 24, 2020;176.35;3.70M;0.40%
Dec 23, 2020;175.65;6.54M;0.66%
Dec 22, 2020;174.49;9.45M;-0.79%
Dec 21, 2020;175.88;8.17M;-0.32%
Dec 18, 2020;176.44;6.79M;-0.17%
Dec 17, 2020;176.74;9.48M;1.05%
Dec 16, 2020;174.90;8.17M;0.55%
Dec 15, 2020;173.94;6.85M;1.40%
Dec 14, 2020;171.54;7.64M;-0.55%
Dec 11, 2020;172.49;6.08M;0.19%
Dec 10, 2020;172.17;6.56M;-0.19%
Dec 09, 2020;172.50;10.74M;-1.71%
Dec 08, 2020;175.50;6.35M;0.35%
Dec 07, 2020;174.89;10.56M;1.49%
Dec 04, 2020;172.32;10.10M;-0.28%
Dec 03, 2020;172.81;10.46M;0.79%
Dec 02, 2020;171.46;9.20M;0.75%
Dec 01, 2020;170.18;13.56M;2.11%
Nov 30, 2020;166.67;13.21M;-0.67%
Nov 27, 2020;167.79;10.57M;-1.01%
Nov 25, 2020;169.51;10.29M;-0.05%
Nov 24, 2020;169.59;19.50M;-1.53%
Nov 23, 2020;172.23;15.51M;-1.97%
Nov 20, 2020;175.69;6.38M;0.30%
Nov 19, 2020;175.16;6.97M;-0.19%
Nov 18, 2020;175.49;7.38M;-0.57%
Nov 17, 2020;176.50;8.23M;-0.37%
Nov 16, 2020;177.15;8.36M;-0.01%
Nov 13, 2020;177.16;6.47M;0.68%
Nov 12, 2020;175.96;7.18M;0.61%
Nov 11, 2020;174.90;9.01M;-0.43%
Nov 10, 2020;175.66;11.73M;0.33%
Nov 09, 2020;175.08;29.80M;-4.43%
Nov 06, 2020;183.19;10.38M;0.14%
Nov 05, 2020;182.93;16.10M;2.30%
Nov 04, 2020;178.82;11.12M;-0.06%
Nov 03, 2020;178.92;7.58M;0.57%
Nov 02, 2020;177.91;6.50M;0.97%
